ls1
cc,neg,noise1,noise2,jitter,original,poster,rot,emboss,con,smooth,stipple
3.1489611257615486,3.1206840830111173,3.1206840830111173,3.1206840830111173,3.1206498024440794,3.1206498024440794,3.120584937706707,3.1201953158368045,3.118542020972988,3.1106301414466366,3.106985411036458,3.1068261368078107
ls2
rot,poster,jitter,original,neg,noise1,noise2,smooth,con,emboss,stipple,cc
0.044399669241638115,0.04332103340726852,0.04263554915134533,0.04263554915134533,0.04248401122508647,0.04248401122508647,0.04248401122508647,0.006970249016769903,0.0066547893541914,0.004816739481899521,0.004505679147595726,-0.016549484780101514
